name,seat_no,party,symbol,alliance,seat,district,division
মোঃ খালেদ হোসেন মাহবুব,245,BNP,ধানের শীষ,BNP,Brahmanbaria-3,Brahmanbaria,Chittagong
মোঃ  ওমর ইউসুফ  খান,245,Independent,হরিণ,,Brahmanbaria-3,Brahmanbaria,Chittagong
মোঃ আবু হানিফ,245,Insaniat Biplab Bangladesh,আপেল,,Brahmanbaria-3,Brahmanbaria,Chittagong
নিয়াজুল করীম,245,Islami Andolan Bangladesh,হাতপাখা,IAB,Brahmanbaria-3,Brahmanbaria,Chittagong
আয়েশা আক্তার,245,Islamic Front,চেয়ার,,Brahmanbaria-3,Brahmanbaria,Chittagong
মোঃ রেজাউল ইসলাম ভূঞা,245,JaPa,লাঙ্গল,JaPa,Brahmanbaria-3,Brahmanbaria,Chittagong
আতাউল্লাহ,245,NCP,শাপলা কলি,Jamaat-NCP,Brahmanbaria-3,Brahmanbaria,Chittagong
মুশফিকুর রহমান,246,BNP,ধানের শীষ,BNP,Brahmanbaria-4,Brahmanbaria,Chittagong
মোঃ জহিরুল হক চৌধুরী,246,GOP (Nuru),ট্রাক,,Brahmanbaria-4,Brahmanbaria,Chittagong
রফি উদ্দীন,246,Insaniat Biplab Bangladesh,আপেল,,Brahmanbaria-4,Brahmanbaria,Chittagong
মোঃ জসিম,246,Islami Andolan Bangladesh,হাতপাখা,IAB,Brahmanbaria-4,Brahmanbaria,Chittagong
মোঃ আতাউর রহমান সরকার,246,Jamaat,দাঁড়িপাল্লা,Jamaat-NCP,Brahmanbaria-4,Brahmanbaria,Chittagong
মোঃ জহিরুল হক খাঁন,246,JaPa,লাঙ্গল,JaPa,Brahmanbaria-4,Brahmanbaria,Chittagong
শাহীন খান,246,NPP,আম,,Brahmanbaria-4,Brahmanbaria,Chittagong
আমজাদ হোসাইন,247,Bangladesh Khelafat Majlish,রিক্সা,Jamaat-NCP,Brahmanbaria-5,Brahmanbaria,Chittagong
মোঃ আবদুল মান্নান,247,BNP,ধানের শীষ,BNP,Brahmanbaria-5,Brahmanbaria,Chittagong
মোঃ শাহীন খান,247,CPB,কাস্তে,,Brahmanbaria-5,Brahmanbaria,Chittagong
‌নাহিদা জাহান,247,Ganosamhati Andolon (Saki),মাথাল,,Brahmanbaria-5,Brahmanbaria,Chittagong
কাজী নাজমুল হোসেন,247,Independent,ফুটবল,,Brahmanbaria-5,Brahmanbaria,Chittagong
মোহাম্মদ আশরাফুল হক,247,Insaniat Biplab Bangladesh,আপেল,,Brahmanbaria-5,Brahmanbaria,Chittagong
নজরুল ইসলাম,247,Islami Andolan Bangladesh,হাতপাখা,IAB,Brahmanbaria-5,Brahmanbaria,Chittagong
মোহাম্মদ কামরুল ইসলাম,247,JaPa,লাঙ্গল,JaPa,Brahmanbaria-5,Brahmanbaria,Chittagong
মোঃ জোনায়েদ আব্দুর রহিম সাকি,248,Ganosamhati Andolon (Saki),মাথাল,BNP,Brahmanbaria-6,Brahmanbaria,Chittagong
সফিকুল ইসলাম,248,GOP (Nuru),ট্রাক,,Brahmanbaria-6,Brahmanbaria,Chittagong
ডঃ মোঃ সাইদুজ্জামান কামাল,248,Independent,হরিণ,,Brahmanbaria-6,Brahmanbaria,Chittagong
মোহাম্মদ আবু কায়েস সিকদার,248,Independent,ফুটবল,,Brahmanbaria-6,Brahmanbaria,Chittagong
মোঃ হাবিবুর রহমান,248,Insaniat Biplab Bangladesh,আপেল,,Brahmanbaria-6,Brahmanbaria,Chittagong
সাইদউদ্দিন খাঁন,248,Islami Andolan Bangladesh,হাতপাখা,IAB,Brahmanbaria-6,Brahmanbaria,Chittagong
মোঃ মহসীন,248,Jamaat,দাঁড়িপাল্লা,Jamaat-NCP,Brahmanbaria-6,Brahmanbaria,Chittagong
কে এম জাবির,248,JSD,তারা,,Brahmanbaria-6,Brahmanbaria,Chittagong
মোঃ সফিকুল ইসলাম,248,NPP,আম,,Brahmanbaria-6,Brahmanbaria,Chittagong
মোঃ সফিউল বাসার,249,AB Party,ঈগল,,Comilla-1,Comilla,Chittagong
বড়ুয়া মনোজিত ধীমন,249,Bangladesh JaSaD,মোটরগাড়ি (কার),,Comilla-1,Comilla,Chittagong
ড. খন্দকার মোশাররফ হোসেন,249,BNP,ধানের শীষ,BNP,Comilla-1,Comilla,Chittagong
মোহাম্মদ আবুল কালাম,249,BRP,হাতি,,Comilla-1,Comilla,Chittagong
আবু জায়েদ আল মাহমুদ,249,Independent,কলস,,Comilla-1,Comilla,Chittagong
ওমর ফারুক,249,Independent,ঘোড়া,,Comilla-1,Comilla,Chittagong
বশির আহমেদ,249,Islami Andolan Bangladesh,হাতপাখা,IAB,Comilla-1,Comilla,Chittagong
মোঃ মনিরুজ্জামান,249,Jamaat,দাঁড়িপাল্লা,Jamaat-NCP,Comilla-1,Comilla,Chittagong
সৈয়দ মোঃ ইফতেকার আহসান,249,JaPa,লাঙ্গল,JaPa,Comilla-1,Comilla,Chittagong
মোঃ সেলিম ভূঁইয়া,250,BNP,ধানের শীষ,BNP,Comilla-2,Comilla,Chittagong
মোঃ আবদুল মতিন,250,Independent,তালা,,Comilla-2,Comilla,Chittagong
মোহাম্মদ আশরাফুল আলম,250,Islami Andolan Bangladesh,হাতপাখা,IAB,Comilla-2,Comilla,Chittagong
মোঃ আব্দুস সালাম,250,Islamic Front,চেয়ার,,Comilla-2,Comilla,Chittagong
মোঃ নাজিম উদ্দিন,250,Jamaat,দাঁড়িপাল্লা,Jamaat-NCP,Comilla-2,Comilla,Chittagong
মোঃ আমির হোসেন,250,JaPa,লাঙ্গল,JaPa,Comilla-2,Comilla,Chittagong
চৌধুরী রকিবুল হক,251,Amjanatar Dol,প্রজাপতি,,Comilla-3,Comilla,Chittagong
মোঃ খোরশেদ আলম,251,Bangladesh Congress,ডাব,,Comilla-3,Comilla,Chittagong
কাজী শাহ মোফাজ্জাল হোসাইন (কায়কোবাদ),251,BNP,ধানের শীষ,BNP,Comilla-3,Comilla,Chittagong
মোঃ এমদাদুল হক,251,BRP,হাতি,,Comilla-3,Comilla,Chittagong
মনিরুজ্জামান,251,GOP (Nuru),ট্রাক,,Comilla-3,Comilla,Chittagong
মোঃ শরীফ উদ্দিন সরকার,251,Insaniat Biplab Bangladesh,আপেল,,Comilla-3,Comilla,Chittagong
আহমদ আবদুল কাইয়ূম,251,Islami Andolan Bangladesh,হাতপাখা,IAB,Comilla-3,Comilla,Chittagong
মোঃ ইউছুফ সোহেল,251,Jamaat,দাঁড়িপাল্লা,Jamaat-NCP,Comilla-3,Comilla,Chittagong
রিয়াজ মোঃ শরীফ,251,NDM,সিংহ,,Comilla-3,Comilla,Chittagong
মোঃ আঃ জসিম উদ্দিন,252,GOP (Nuru),ট্রাক,BNP,Comilla-4,Comilla,Chittagong
ইরফানুল হক সরকার,252,Insaniat Biplab Bangladesh,আপেল,,Comilla-4,Comilla,Chittagong
মোঃ আব্দুল করিম,252,Islami Andolan Bangladesh,হাতপাখা,IAB,Comilla-4,Comilla,Chittagong
মোহাম্মদ মজিবুর রহমান,252,Khelafat Majlish,দেওয়াল ঘড়ি,,Comilla-4,Comilla,Chittagong
মোঃ আবুল হাসনাত,252,NCP,শাপলা কলি,Jamaat-NCP,Comilla-4,Comilla,Chittagong
যোবায়ের আহমেদ ভুঁইয়া,253,AB Party,ঈগল,,Comilla-5,Comilla,Chittagong
আবুল কালাম ইদ্রিস,253,Bangladesh Muslim League,হারিকেন,,Comilla-5,Comilla,Chittagong
মোঃ জসীম উদ্দিন,253,BNP,ধানের শীষ,BNP,Comilla-5,Comilla,Chittagong
আবদুল্লাহ আল ক্বাফী,253,CPB,কাস্তে,,Comilla-5,Comilla,Chittagong
তানজিল আহমেদ,253,Insaniat Biplab Bangladesh,আপেল,,Comilla-5,Comilla,Chittagong
মোঃ রাশেদুল ইসলাম,253,Islami Andolan Bangladesh,হাতপাখা,IAB,Comilla-5,Comilla,Chittagong
মোবারক হোসাইন,253,Jamaat,দাঁড়িপাল্লা,Jamaat-NCP,Comilla-5,Comilla,Chittagong
মোঃ এমরানুল হক,253,JaPa,লাঙ্গল,JaPa,Comilla-5,Comilla,Chittagong
শিরিন আক্তার,253,JSD,তারা,,Comilla-5,Comilla,Chittagong
মোঃ আবুল বাসার,253,NPP,আম,,Comilla-5,Comilla,Chittagong
মোঃ মাছুম বিল্যাহ মিয়াজী,254,Bangladesh Islami Front,মোমবাতি,,Comilla-6,Comilla,Chittagong
মোঃ আমির হোসেন ফরায়েজী,254,Bangladesh Sangskritik Muktijote,ছড়ি,,Comilla-6,Comilla,Chittagong
কামরুন্নাহার সাথী,254,BaSaD,মই,,Comilla-6,Comilla,Chittagong
মোঃ মনিরুল হক চৌধুরী,254,BNP,ধানের শীষ,BNP,Comilla-6,Comilla,Chittagong
মোবারক হোসেন,254,GOP (Nuru),ট্রাক,,Comilla-6,Comilla,Chittagong
মোহাম্মদ হারুনুর রশিদ,254,Islami Andolan Bangladesh,হাতপাখা,IAB,Comilla-6,Comilla,Chittagong
কাজী দ্বীন মোহাম্মদ,254,Jamaat,দাঁড়িপাল্লা,Jamaat-NCP,Comilla-6,Comilla,Chittagong
ওবায়দুল কবির মোহন,254,JSD,তারা,,Comilla-6,Comilla,Chittagong
সজল কুমার কর,255,Bangladesh Sangskritik Muktijote,ছড়ি,,Comilla-7,Comilla,Chittagong
রেদোয়ান আহমেদ,255,BNP,ধানের শীষ,BNP,Comilla-7,Comilla,Chittagong
আতিকুল আলম,255,Independent,কলস,,Comilla-7,Comilla,Chittagong
মাওঃ এহতেশামুল হক,255,Islami Andolan Bangladesh,হাতপাখা,IAB,Comilla-7,Comilla,Chittagong
সোলাইমান খাঁন,255,Khelafat Majlish,দেওয়াল ঘড়ি,Jamaat-NCP,Comilla-7,Comilla,Chittagong
মোঃ আলী আশ্রাফ,256,BaSaD,মই,,Comilla-8,Comilla,Chittagong
জাকারিয়া তাহের,256,BNP,ধানের শীষ,BNP,Comilla-8,Comilla,Chittagong
মোঃ মফিজ উদ্দীন আহমেদ,256,BRP,হাতি,,Comilla-8,Comilla,Chittagong
মোহাম্মদ গোলাম মোরশেদ,256,BSP,একতারা,,Comilla-8,Comilla,Chittagong
মোঃ গোলাম ছাদেক,256,Islami Andolan Bangladesh,হাতপাখা,IAB,Comilla-8,Comilla,Chittagong
আব্দুল কাদের,256,Islami Oikya Jote,মিনার,,Comilla-8,Comilla,Chittagong
মোঃ শফিকুল আলম হেলাল,256,Jamaat,দাঁড়িপাল্লা,Jamaat-NCP,Comilla-8,Comilla,Chittagong
এইচ. এম. এম ইরফান,256,JaPa,লাঙ্গল,JaPa,Comilla-8,Comilla,Chittagong
মোঃ মিজানুর রহমান চৌধুরী,257,Bangladesh Sangskritik Muktijote,ছড়ি,,Comilla-9,Comilla,Chittagong
মোঃ আবুল কালাম,257,BNP,ধানের শীষ,BNP,Comilla-9,Comilla,Chittagong
মোঃ আবুল কাশেম,257,Independent,হাঁস,,Comilla-9,Comilla,Chittagong
সামিরা আজিম,257,Independent,ফুটবল,,Comilla-9,Comilla,Chittagong
সেলিম মাহমুদ,257,Islami Andolan Bangladesh,হাতপাখা,IAB,Comilla-9,Comilla,Chittagong
মোঃ আবু বকর ছিদ্দিক,257,Islamic Front,চেয়ার,,Comilla-9,Comilla,Chittagong
ছৈয়দ এ কে এম সরওয়ার উদ্দীন ছিদ্দীকি,257,Jamaat,দাঁড়িপাল্লা,Jamaat-NCP,Comilla-9,Comilla,Chittagong
মোঃ গোলাম মোস্তফা কামাল,257,JaPa,লাঙ্গল,JaPa,Comilla-9,Comilla,Chittagong
মোঃ আবদুল্লাহ আল  নোমান,258,Amjanatar Dol,প্রজাপতি,,Comilla-10,Comilla,Chittagong
হাছান আহম্মেদ,258,Bangladesh Congress,ডাব,,Comilla-10,Comilla,Chittagong
কাজি নুরে আলম ছিদ্দিকি,258,Bangladesh Sangskritik Muktijote,ছড়ি,,Comilla-10,Comilla,Chittagong
মোঃ মোবাশ্বের আলম ভুঁইয়া,258,BNP,ধানের শীষ,BNP,Comilla-10,Comilla,Chittagong
রমিজ বিন আরিফ,258,GOP (Nuru),ট্রাক,,Comilla-10,Comilla,Chittagong
মোঃ শামছুদ্দোহা,258,Islami Andolan Bangladesh,হাতপাখা,IAB,Comilla-10,Comilla,Chittagong
মুহাম্মদ ইয়াছিন আরাফাত,258,Jamaat,দাঁড়িপাল্লা,Jamaat-NCP,Comilla-10,Comilla,Chittagong
আ ফ ম আবদুর রহিম,259,Bangladesh Congress,ডাব,,Comilla-11,Comilla,Chittagong
মোহাম্মদ ইউসুফ,259,Bangladesh Sangskritik Muktijote,ছড়ি,,Comilla-11,Comilla,Chittagong
মোঃ কামরুল হুদা,259,BNP,ধানের শীষ,BNP,Comilla-11,Comilla,Chittagong
মোঃ আলমগীর,259,Gano Front,মাছ,,Comilla-11,Comilla,Chittagong
মোঃ মহিউদ্দিন (শহিদ),259,Islami Andolan Bangladesh,হাতপাখা,IAB,Comilla-11,Comilla,Chittagong
সৈয়দ আবদুল্লাহ  মোহাম্মদ তাহের,259,Jamaat,দাঁড়িপাল্লা,Jamaat-NCP,Comilla-11,Comilla,Chittagong
মোঃ মাইন উদ্দিন,259,JaPa,লাঙ্গল,JaPa,Comilla-11,Comilla,Chittagong
মোহাম্মদ নাছির উদ্দিন,260,Bangladesh Islami Front,মোমবাতি,,Chandpur-1,Chandpur,Chittagong
আ ন ম এহছানুল হক মিলন,260,BNP,ধানের শীষ,BNP,Chandpur-1,Chandpur,Chittagong
মোহাম্মদ আজাদ হোসেন,260,Gano Forum,উদীয়মান সূর্য,,Chandpur-1,Chandpur,Chittagong
মোঃ এনায়েত হোসেন,260,GOP (Nuru),ট্রাক,,Chandpur-1,Chandpur,Chittagong
আবু নছর মোহাম্মদ মকবুল আহমদ,260,Jamaat,দাঁড়িপাল্লা,Jamaat-NCP,Chandpur-1,Chandpur,Chittagong
হাবিব খান,260,JaPa,লাঙ্গল,JaPa,Chandpur-1,Chandpur,Chittagong
নাসিমা নাজনীন সরকার,261,Bangladesh Labor Party,আনারস,,Chandpur-2,Chandpur,Chittagong
মোঃ জালাল উদ্দিন,261,BNP,ধানের শীষ,BNP,Chandpur-2,Chandpur,Chittagong
মোঃ ফয়জুন্নুর,261,BRP,হাতি,,Chandpur-2,Chandpur,Chittagong
মোঃ গোলাফ হোসেন,261,GOP (Nuru),ট্রাক,,Chandpur-2,Chandpur,Chittagong
মানসুর,261,Islami Andolan Bangladesh,হাতপাখা,IAB,Chandpur-2,Chandpur,Chittagong
মোঃ এমরান হোসেন মিয়া,261,JaPa,লাঙ্গল,JaPa,Chandpur-2,Chandpur,Chittagong
মোঃ বিল্লাল হোসেন,261,LDP,ছাতা,Jamaat-NCP,Chandpur-2,Chandpur,Chittagong
মোঃ এনামুল হক,261,Nagorik Oikko,কেটলি,,Chandpur-2,Chandpur,Chittagong
এ এইচ এম আহসান উল্লাহ,262,Bangladesh Islami Front,মোমবাতি,,Chandpur-3,Chandpur,Chittagong
শেখ ফরিদ আহম্মেদ,262,BNP,ধানের শীষ,BNP,Chandpur-3,Chandpur,Chittagong
মোঃ জাহাঙ্গীর হোসেন,262,CPB,কাস্তে,,Chandpur-3,Chandpur,Chittagong
সেলিম আকবর,262,Gano Forum,উদীয়মান সূর্য,,Chandpur-3,Chandpur,Chittagong
মোঃ জাকির হোসেন,262,GOP (Nuru),ট্রাক,,Chandpur-3,Chandpur,Chittagong
মোঃ জয়নাল আবদিন শেখ,262,Islami Andolan Bangladesh,হাতপাখা,IAB,Chandpur-3,Chandpur,Chittagong
মোঃ শাহজাহান মিয়া,262,Jamaat,দাঁড়িপাল্লা,Jamaat-NCP,Chandpur-3,Chandpur,Chittagong
মোঃ আব্দুল মালেক,263,Bangladesh Islami Front,মোমবাতি,,Chandpur-4,Chandpur,Chittagong
মোঃ হারুনুর রশিদ,263,BNP,ধানের শীষ,BNP,Chandpur-4,Chandpur,Chittagong
মোঃ মুনীর চৌধুরী,263,Gano Forum,উদীয়মান সূর্য,,Chandpur-4,Chandpur,Chittagong
জাকির হোসাইন,263,Independent,ঘুড়ি,,Chandpur-4,Chandpur,Chittagong
মোঃ আবদুল হান্নান,263,Independent,চিংড়ি,,Chandpur-4,Chandpur,Chittagong
মকবুল হোসাইন,263,Islami Andolan Bangladesh,হাতপাখা,IAB,Chandpur-4,Chandpur,Chittagong
মোঃ বিল্লাল হোসেন মিয়াজী,263,Jamaat,দাঁড়িপাল্লা,Jamaat-NCP,Chandpur-4,Chandpur,Chittagong
মাহ্‌মুদ আলম,263,JaPa,লাঙ্গল,JaPa,Chandpur-4,Chandpur,Chittagong
মোঃ মমিনুল হক,264,BNP,ধানের শীষ,BNP,Chandpur-5,Chandpur,Chittagong
মোঃ জাকির হোসেন প্রধানিয়া,264,Independent,ফুটবল,,Chandpur-5,Chandpur,Chittagong
মোঃ মাহমুদ হাসান নয়ন,264,Insaniat Biplab Bangladesh,আপেল,,Chandpur-5,Chandpur,Chittagong
মোহাম্মদ আলী পাটোয়ারি,264,Islami Andolan Bangladesh,হাতপাখা,IAB,Chandpur-5,Chandpur,Chittagong
সৈয়দ বাহাদুর শাহ্ মুজাদ্দেদী,264,Islamic Front,চেয়ার,,Chandpur-5,Chandpur,Chittagong
মির্জা গিয়াস উদ্দিন,264,JaPa,লাঙ্গল,JaPa,Chandpur-5,Chandpur,Chittagong
মোঃ নেয়ামুল বশির,264,LDP,ছাতা,Jamaat-NCP,Chandpur-5,Chandpur,Chittagong
মোঃ ফিরোজ উদ্দিন চৌধুরী,265,Bangladesh Congress,ডাব,,Feni-1,Feni,Chittagong
আনোয়ার উল্যাহ ভূঁঞা,265,Bangladesh Khelafat Andolan,বটগাছ,,Feni-1,Feni,Chittagong
মাহবুব মোরশেদ মজুমদার,265,Bangladesh Muslim League,হারিকেন,,Feni-1,Feni,Chittagong
মুন্সী রফিকুল আলম,265,BNP,ধানের শীষ,BNP,Feni-1,Feni,Chittagong
কাজী গোলাম কিবরিয়া,265,Islami Andolan Bangladesh,হাতপাখা,IAB,Feni-1,Feni,Chittagong
এস এম কামালউদ্দীন,265,Jamaat,দাঁড়িপাল্লা,Jamaat-NCP,Feni-1,Feni,Chittagong
মোতাহের হোসেন চৌধুরী,265,JaPa,লাঙ্গল,JaPa,Feni-1,Feni,Chittagong
মোহাম্মদ মজিবুর রহমান ভূঁঞা,266,AB Party,ঈগল,Jamaat-NCP,Feni-2,Feni,Chittagong
সাইফুল করিম মজুমদার,266,Amjanatar Dol,প্রজাপতি,,Feni-2,Feni,Chittagong
মোহাম্মদ আবুল হোসেন,266,Bangladesh Khelafat Andolan,বটগাছ,,Feni-2,Feni,Chittagong
মোঃ হারুনুর রশিদ ভূঞা,266,Bangladesh Khelafat Majlish,রিক্সা,,Feni-2,Feni,Chittagong
জসীম উদ্দীন,266,BaSaD (M),কাঁচি,,Feni-2,Feni,Chittagong
জয়নাল আবদিন,266,BNP,ধানের শীষ,BNP,Feni-2,Feni,Chittagong
মোঃ তারেকুল ইসলাম ভূঁঞা,266,GOP (Nuru),ট্রাক,,Feni-2,Feni,Chittagong
তাহেরুল ইসলাম,266,Insaniat Biplab Bangladesh,আপেল,,Feni-2,Feni,Chittagong
মোহাম্মদ একরামুল হক ভূঁঞা,266,Islami Andolan Bangladesh,হাতপাখা,IAB,Feni-2,Feni,Chittagong
সামসুদ্দিন মজুমদার,266,JSD,তারা,,Feni-2,Feni,Chittagong
মোহাম্মদ খালেদুজ্জামান পাটোয়ারী,267,Bangladesh Khelafat Andolan,বটগাছ,,Feni-3,Feni,Chittagong
আবদুল মালেক,267,BaSaD,মই,,Feni-3,Feni,Chittagong
আবদুল আউয়াল মিন্টু,267,BNP,ধানের শীষ,BNP,Feni-3,Feni,Chittagong
মোঃ হাসান আহমদ,267,Insaniat Biplab Bangladesh,আপেল,,Feni-3,Feni,Chittagong
মোঃ সাইফ উদ্দিন,267,Islami Andolan Bangladesh,হাতপাখা,IAB,Feni-3,Feni,Chittagong
মোঃ আবু নাছির,267,Islamic Front,চেয়ার,,Feni-3,Feni,Chittagong
মোহাম্মদ ফখরুদ্দিন,267,Jamaat,দাঁড়িপাল্লা,Jamaat-NCP,Feni-3,Feni,Chittagong
মোঃ আবু সুফিয়ান,267,JaPa,লাঙ্গল,JaPa,Feni-3,Feni,Chittagong
মোঃ মোমিনুল ইসলাম,268,Bangladesh Congress,ডাব,,Noakhali-1,Noakhali,Chittagong
এ এম মাহবুব উদ্দিন,268,BNP,ধানের শীষ,BNP,Noakhali-1,Noakhali,Chittagong
মোঃ মশিউর রহমান,268,Insaniat Biplab Bangladesh,আপেল,,Noakhali-1,Noakhali,Chittagong
জহিরুল ইসলাম,268,Islami Andolan Bangladesh,হাতপাখা,IAB,Noakhali-1,Noakhali,Chittagong
মোঃ ছাইফ উল্যাহ,268,Jamaat,দাঁড়িপাল্লা,Jamaat-NCP,Noakhali-1,Noakhali,Chittagong
মোঃ নুরুল আমিন,268,JaPa,লাঙ্গল,JaPa,Noakhali-1,Noakhali,Chittagong
রেহানা বেগম,268,JSD,তারা,,Noakhali-1,Noakhali,Chittagong
জয়নুল আবদিন ফারুক,269,BNP,ধানের শীষ,BNP,Noakhali-2,Noakhali,Chittagong
কাজী মোহাম্মদ মফিজুর রহমান,269,Independent,কাপ-পিরিচ,,Noakhali-2,Noakhali,Chittagong
খলিলুর রহমান,269,Islami Andolan Bangladesh,হাতপাখা,IAB,Noakhali-2,Noakhali,Chittagong
মোঃ শাহাদাৎ হোসেন,269,JaPa,লাঙ্গল,JaPa,Noakhali-2,Noakhali,Chittagong
সুলতান মুহাম্মদ জাকারিয়া মজুমদার,269,NCP,শাপলা কলি,Jamaat-NCP,Noakhali-2,Noakhali,Chittagong
মোঃ বরকত উল্লাহ বুলু,270,BNP,ধানের শীষ,BNP,Noakhali-3,Noakhali,Chittagong
মোঃ রাজিব উদদৌলা চৌধুরী,270,Independent,মোরগ,,Noakhali-3,Noakhali,Chittagong
শরীফ আহমেদ,270,Independent,ফুটবল,,Noakhali-3,Noakhali,Chittagong
মোহাম্মদ নুর উদ্দিন,270,Islami Andolan Bangladesh,হাতপাখা,IAB,Noakhali-3,Noakhali,Chittagong
মোঃ বোরহান উদ্দিন,270,Jamaat,দাঁড়িপাল্লা,Jamaat-NCP,Noakhali-3,Noakhali,Chittagong
মোঃ সিরাজ মিয়া,270,JSD,তারা,,Noakhali-3,Noakhali,Chittagong
মোরশেদ আলম,270,Khelafat Majlish,দেওয়াল ঘড়ি,,Noakhali-3,Noakhali,Chittagong
বিটুল চন্দ্র তালুকদার,271,BaSaD (M),কাঁচি,,Noakhali-4,Noakhali,Chittagong
মোঃ শাহজাহান,271,BNP,ধানের শীষ,BNP,Noakhali-4,Noakhali,Chittagong
আবদুজ জাহের,271,GOP (Nuru),ট্রাক,,Noakhali-4,Noakhali,Chittagong
মোঃ ইউনুস নবী,271,Insaniat Biplab Bangladesh,আপেল,,Noakhali-4,Noakhali,Chittagong
মোঃ ফিরোজ আলম মাসুদ,271,Islami Andolan Bangladesh,হাতপাখা,IAB,Noakhali-4,Noakhali,Chittagong
মোঃ ইসহাক খন্দকার,271,Jamaat,দাঁড়িপাল্লা,Jamaat-NCP,Noakhali-4,Noakhali,Chittagong
মোঃ শরিফুল ইসলাম,271,JaPa,লাঙ্গল,JaPa,Noakhali-4,Noakhali,Chittagong
মুন তাহার বেগম,272,BaSaD (M),কাঁচি,,Noakhali-5,Noakhali,Chittagong
মোহাম্মদ ফখরুল ইসলাম,272,BNP,ধানের শীষ,BNP,Noakhali-5,Noakhali,Chittagong
মোহাম্মদ আনিছুল হক,272,BRP,হাতি,,Noakhali-5,Noakhali,Chittagong
ওমর আলী,272,Independent,মোটর সাইকেল,,Noakhali-5,Noakhali,Chittagong
মুহাম্মদ ইউনুছ,272,Independent,ফুটবল,,Noakhali-5,Noakhali,Chittagong
তৌহিদুল ইসলাম,272,Insaniat Biplab Bangladesh,আপেল,,Noakhali-5,Noakhali,Chittagong
আবু নাছের,272,Islami Andolan Bangladesh,হাতপাখা,IAB,Noakhali-5,Noakhali,Chittagong
মোহাম্মদ শামছুদ্দোহা,272,Islamic Front,চেয়ার,,Noakhali-5,Noakhali,Chittagong
মোহাম্মদ বেলায়েত হোসেন,272,Jamaat,দাঁড়িপাল্লা,Jamaat-NCP,Noakhali-5,Noakhali,Chittagong
মোঃ শওকত হোসেন,272,Janatar Dol,কলম,,Noakhali-5,Noakhali,Chittagong
খাজা তানভীর আহমেদ,272,JaPa,লাঙ্গল,JaPa,Noakhali-5,Noakhali,Chittagong
মোঃ কামাল উদ্দিন পাটোয়ারী,272,JSD,তারা,,Noakhali-5,Noakhali,Chittagong
মোহাম্মদ মাহবুবের রহমান,273,BNP,ধানের শীষ,BNP,Noakhali-6,Noakhali,Chittagong
আমিরুল ইসলাম মোহাম্মদ আবদুল মালেক,273,BSP,একতারা,,Noakhali-6,Noakhali,Chittagong
মোহাম্মদ আজহার উদ্দিন,273,GOP (Nuru),ট্রাক,,Noakhali-6,Noakhali,Chittagong
তানবীর উদ্দিন রাজিব,273,Independent,ফুটবল,,Noakhali-6,Noakhali,Chittagong
মোহাম্মদ ফজলুল আজিম,273,Independent,হরিণ,,Noakhali-6,Noakhali,Chittagong
মোহাম্মদ নুরুল ইসলাম শরীফ,273,Islami Andolan Bangladesh,হাতপাখা,IAB,Noakhali-6,Noakhali,Chittagong
এ টি এম নাবী উল্যাহ,273,JaPa,লাঙ্গল,JaPa,Noakhali-6,Noakhali,Chittagong
মোহাম্মদ আবদুল মোতালেব,273,JSD,তারা,,Noakhali-6,Noakhali,Chittagong
মোহাম্মদ আবুল হোসেন,273,LDP,ছাতা,,Noakhali-6,Noakhali,Chittagong
আবদুল হান্নান মাসউদ,273,NCP,শাপলা কলি,Jamaat-NCP,Noakhali-6,Noakhali,Chittagong
মোঃ বিল্লাল হোসেন,274,BaSaD,মই,,Lakshmipur-1,Lakshmipur,Chittagong
মোঃ শাহাদাত হোসেন,274,BNP,ধানের শীষ,BNP,Lakshmipur-1,Lakshmipur,Chittagong
মোঃ কাউছার আলম,274,GOP (Nuru),ট্রাক,,Lakshmipur-1,Lakshmipur,Chittagong
মোঃ জাকির হোসেন পাটওয়ারী,274,Islami Andolan Bangladesh,হাতপাখা,IAB,Lakshmipur-1,Lakshmipur,Chittagong
মোহাম্মদ মাহমুদুর রহমান মাহমুদ,274,JaPa,লাঙ্গল,JaPa,Lakshmipur-1,Lakshmipur,Chittagong
মোঃ মাহবুব আলম,274,NCP,শাপলা কলি,Jamaat-NCP,Lakshmipur-1,Lakshmipur,Chittagong
মোঃ আলমগীর হোসাইন,274,NDM,সিংহ,,Lakshmipur-1,Lakshmipur,Chittagong
মোঃ ফরহাদ মিয়া,275,Bangladesh Kallyan Party,হাতঘড়ি,,Lakshmipur-2,Lakshmipur,Chittagong
মোঃ আবুল খায়ের ভূঁইয়া,275,BNP,ধানের শীষ,BNP,Lakshmipur-2,Lakshmipur,Chittagong
মোঃ ইব্রাহিম মিয়া,275,BSP,একতারা,,Lakshmipur-2,Lakshmipur,Chittagong
আবুল বাশার,275,GOP (Nuru),ট্রাক,,Lakshmipur-2,Lakshmipur,Chittagong
হেলাল উদ্দিন,275,Islami Andolan Bangladesh,হাতপাখা,IAB,Lakshmipur-2,Lakshmipur,Chittagong
এস ইউ এম রুহুল আমিন ভূঁইয়া,275,Jamaat,দাঁড়িপাল্লা,Jamaat-NCP,Lakshmipur-2,Lakshmipur,Chittagong
মোহাম্মদ রেজাউল করিম,275,Nagorik Oikko,কেটলি,,Lakshmipur-2,Lakshmipur,Chittagong
